Model,MAE,MSE,RMSE,R2,Group
LSTM_V4_RMSProp,2.302210281983902,7.846322088524996,2.8011287168791434,0.5833500025965653,Optimizer
GRU_V3_NADAM,2.3021572812398277,7.968275991730243,2.8228134886545804,0.5768740903308535,Optimizer
GRU_V3_RMSPRop,2.308649208393271,8.044853570353515,2.8363451077669506,0.5728077204349236,Optimizer
LSTM_V4,2.3158878032148698,8.086722021343984,2.8437162343215583,0.570584450755238,Optimizer
GRU_V3,2.3280256571072964,8.204031927965008,2.8642681312972442,0.5643551408011478,Optimizer
LSTM_V4_NADAM,2.374157593761949,8.503050075439138,2.915998984128619,0.5484768848535773,Optimizer
LSTM_V4_SGD,2.416284616200347,8.583052806745764,2.9296847623499978,0.544228634856305,Optimizer
GRU_V3_ADAMAX,2.403940305132844,8.595949365643612,2.9318849509562295,0.5435438106583333,Optimizer
GRU_V3_SGD,2.4658273043262358,8.700997237815603,2.9497452835483275,0.5379656308214764,Optimizer
LSTM_V4_ADAMAX,2.4601908285541616,9.014454901047596,3.002408183616544,0.5213206176422827,Optimizer
GRU_V3_ADAGRAD,2.9976696580294604,13.407649476329661,3.6616457333185117,0.28803622175175514,Optimizer
LSTM_V4_ADAGRAD,3.083967257351636,14.324082434862266,3.784716955713104,0.23937242927866142,Optimizer
GRU_V3_Adadelta,3.449454363557302,19.740572357432054,4.443036389388686,-0.048250292133056316,Optimizer
LSTM_V4_Adadelta,3.5562668860013082,21.75574167360253,4.664305057948346,-0.15525842675677115,Optimizer
GRU_V3_MAE,2.1648114596926455,7.839763504657026,2.7999577683702705,0.5836982720049237,Loss
GRU_V3_LOGCOSH,2.2010336988837755,7.91619131180747,2.8135726953123976,0.5796398551707036,Loss
GRU_V3_HUBER,2.168748792499712,7.931825439458273,2.8163496656946334,0.5788096624802151,Loss
LSTM_V4_HUBER,2.1972999621988976,8.003893775616636,2.8291153697961198,0.5749827392753717,Loss
LSTM_V4_LOGCOSH,2.2227985298116457,8.078353923040211,2.842244522035395,0.57102880775425,Loss
LSTM_V4,2.3158878032148698,8.086722021343984,2.8437162343215583,0.570584450755238,Loss
LSTM_V4_MAE,2.194324041681203,8.12565143127367,2.8505528290620523,0.56851724801195,Loss
GRU_V3,2.3280256571072964,8.204031927965008,2.8642681312972442,0.5643551408011478,Loss
LSTM_V4_MSLE,2.4046138323006563,9.643463504431404,3.1053926489948744,0.4879194355330393,Loss
GRU_V3_MAPE,4.645253578447758,40.40657728889577,6.356616811551233,-1.145642268129849,Loss
GRU_V3_MSLE,4.645126635318614,40.40735935624423,6.356678327258996,-1.1456837969321372,Loss
LSTM_V4_MAPE,4.64593211204494,40.41659949960762,6.357405091671256,-1.146174460667952,Loss
LSTM_V4,2.3158878032148698,8.086722021343984,2.8437162343215583,0.570584450755238,Architecture
RNN_V4,2.3654733988356917,8.102407438255646,2.8464728065196137,0.5697515345377056,Architecture
GRU_V3,2.3280256571072964,8.204031927965008,2.8642681312972442,0.5643551408011478,Architecture
GRU_V5,2.3164357366355044,8.224677188297978,2.867869799746491,0.5632588503905483,Architecture
RNN_V1,2.3529282249163277,8.2439836483124,2.8712338198607927,0.5622336520333915,Architecture
LSTM_V3,2.398188826852737,8.278925031602547,2.8773121192534097,0.560378218737019,Architecture
GRU_V4,2.340791074826837,8.286532679418395,2.87863382169709,0.5599742426566394,Architecture
LSTM_V5,2.3438830504787567,8.287375730283426,2.878780250433059,0.5599294755496097,Architecture
RNN_V3,2.367789661764554,8.398185076888073,2.8979622283404716,0.55404535386123,Architecture
RNN_V5,2.375381032865341,8.733087105715835,2.95517970785464,0.536261616733543,Architecture
GRU_V1,2.4033154863636246,8.826086091601683,2.9708729511040493,0.5313232485668158,Architecture
LSTM_V1,2.5411162277552632,9.539782932573514,3.088653903009127,0.4934250099292973,Architecture
GRU_V2,2.8594950612168337,12.012185084373298,3.46585993432702,0.36213721183671654,Architecture
RNN_V2,2.934595790257737,12.653178935850347,3.5571307167224466,0.32809959732888083,Architecture
LSTM_V2,3.064483848184211,13.92289699908423,3.731339839666742,0.26067590228032067,Architecture
LSTM_V4_CONV,3.0233020034337157,13.73493865606372,3.7060678159018785,0.27065673689912617,Conv_Hybrid
GRU_V3_CONV,3.0603247481611766,14.32701975659779,3.785104986205507,0.239216453640691,Conv_Hybrid
